us,couleur
Substrat,
Cairn Chbre III,1
Cloison axiale en bois (1),2
Cloison axiale en bois (2),2
Cloison axiale en bois (3),2
T11b D2,
Argile rouge (1),3
Argile rouge (2),3
Argile rouge (3),3
c80 C,1
c84b Inf,1
c80 B,1
c80 A,
T11b D1,
T11b E,
T11b B1,
c66 base,
T11 C,
c68base,
c62 B,
c63 B,
c59b Inf,
c54b E-F,
c61 Inf,
c84 Inf,
c63 C,
c62 C,
c85b B,
c90,
c36 F,
c46 E2,
c36bis E2,
c31b E,1
c31b F,1
c91,1
c92,1
c30b E / c88 Inf,
c30c E,
c29 D2,
c24 D,
c24 C,
c30c C,
c30c D,
c30 E,
c38 D3-D4,
c36 E1,
c36 E2,
c38 D2,
c30b D,
c36bis E1b,
c38bis E2,
c36bis E1a,
c38bis E1,
c46 E1,
c83,
c82,
c43 C,
c43 D,
c44 D,
c68b (1),
c68b (2),
T11 A-B,
c85b A2,
c49 C,
c49b C,
c54b C,
c54b D,
c59b,
c30 F,
c31 Inf,4
c86 A,
c86 D,
c89 Inf,
c31b A2-D,
c47 C,
c47 D,
c31 C,
c31 D,
c86 C,
c47b D,
Cloison NS bois,2
c66 B,
c42 B2,
c67b B2,
c36bis D,
c36bis C,
c36 C,
c36 D,
c38 D1,
c35 C,
c37 C,
c38 C,
c38bis C,
c38c D,
c38b D,
c38bis D,
c29 D1-C,
c24 B6,
c23 B-D,
c22c Inf,
c22 Inf,4
c13 Inf,
c30c B,
c30 C,
c26 C,
c15 D,
c15c D,4
c14 E,
c8 B,
c15 C2,
c15b D-C,
b20 B,
c17 D2,
c27 A1,
c8a B,
c17 E,
c26 D C2,
c27 A2,
c32 D,
c33 C,
c89 Sup,
c51 D1,
c51 D2,
c52 D1,
c52 D2,
c52 D3,
T10,
c64 B,1
c59c,
c49 B,
c54b B,
c82 B-A2,
c83 B-A2,
c81 a-b / c85 sup / c66 B2,
c44 C2,
c67 E-D,
c43 Cx,
c68b A-B,
c46 D,
c29b B2,
c24 B3,
c15 C1,1
c11 C,
