older,younger,type
Substrat,Cairn Chbre III,older
Substrat,Cloison axiale en bois (1),older
Substrat,Cloison axiale en bois (2),older
Substrat,Cloison axiale en bois (3),older
Substrat,T11b D2,older
Cloison axiale en bois (3),T11b D2,synch
Cloison axiale en bois (3),Cloison axiale en bois (2),synch
Cloison axiale en bois (2),Cloison axiale en bois (1),synch
Cloison axiale en bois (3),Argile rouge (3),older
Cloison axiale en bois (2),Argile rouge (2),older
Cloison axiale en bois (1),Argile rouge (1),older
Argile rouge (1),c80 C,older
Substrat,c80 C,older
c80 C,c84b Inf,older
Substrat,c84b Inf,older
T11b D2,c80 C,older
c84b Inf,c80 B,older
c80 B,c80 A,older
c68base,c80 A,older
c84b Inf,T11b D1,older
c84b Inf,T11b E,older
T11b D1,c80 B,older
T11b E,c80 B,older
T11b B1,c80 B,older
T11b D1,T11b B1,older
T11b E,T11b B1,older
T11b D1,c66 base,older
T11b E,c66 base,older
Substrat,c66 base,older
T11b B1,T11 C,older
T11 C,c68base,older
c66 base,c68base,older
c68base,c81 a-b / c85 sup / c66 B2,older
c66 base,c81 a-b / c85 sup / c66 B2,older
c66 B,c81 a-b / c85 sup / c66 B2,older
c62 B,c81 a-b / c85 sup / c66 B2,older
c80 A,c62 B,older
c62 B,c63 B,older
c63 C,c63 B,older
c61 Inf,c63 B,older
c63 B,c59b Inf,older
c59b Inf,c54b E-F,older
c61 Inf,c59b Inf,older
Substrat,c61 Inf,older
c84 Inf,c61 Inf,older
c63 C,c61 Inf,older
c62 C,c84 Inf,older
c62 C,c63 C,older
c62 C,c62 B,older
c84b Inf,c62 C,older
c84 Inf,c85b B,older
Substrat,c84 Inf,older
Substrat,c63 C,older
Substrat,c62 C,older
Argile rouge (3),c90,older
c36 F,c90,older
Argile rouge (2),c36 F,older
Substrat,c36 F,older
c36bis E2,c46 E2,older
Substrat,c46 E2,older
Argile rouge (2),c36bis E2,older
Substrat,c36bis E2,older
c31b F,c31b E,older
Argile rouge (2),c31b F,older
Substrat,c31b F,older
c92,c91,older
Argile rouge (2),c92,older
Substrat,c92,older
c90,c30b E / c88 Inf,older
c30 F,c30b E / c88 Inf,older
c30b E / c88 Inf,c30c E,older
c30b E / c88 Inf,c29 D2,older
Substrat,c29 D2,older
c29 D2,c24 D,older
c30c E,c24 D,older
Substrat,c24 D,older
c24 D,c24 C,older
c29 D2,c24 C,older
c30c D,c24 C,older
c30c E,c30c C,older
c30c E,c30c D,older
c30c C,c30 E,older
c30c D,c30 E,older
c31 D,c30 E,older
c36 F,c36 E2,older
c36 E2,c38 D3-D4,older
Substrat,c38 D3-D4,older
c38 D3-D4,c30b E / c88 Inf,older
c38 D3-D4,c36 E1,older
c36 E1,c38 D2,older
c38 D2,c30b D,older
c30b E / c88 Inf,c30b D,older
c30b D,c30c C,older
c30b D,c30c D,older
c36bis E2,c36bis E1b,older
c36bis E1b,c38bis E2,older
c38 D3-D4,c38bis E2,older
Substrat,c38bis E2,older
c38bis E2,c36bis E1a,older
c36bis E1a,c36 E1,older
c36bis E1a,c38bis E1,older
c38 D2,c38bis E1,older
c46 E2,c46 E1,older
c36bis E1b,c46 E1,older
c46 E1,c83,older
c83,c82,older
c36bis E1a,c38 D2,older
Substrat,c43 C,older
Substrat,c43 D,older
c46 E1,c43 C,older
c46 E1,c43 D,older
c46 E1,c38bis E2,older
T11 C,c82,older
Substrat,c44 D,older
c43 C,c44 D,older
c43 D,c44 D,older
c82,c44 D,older
Substrat,c68b (1),older
Substrat,c68b (2),older
c44 D,c68b (1),older
c44 D,c68b (2),older
c68b (1),T11 A-B,older
c68b (2),T11 A-B,older
T11 C,T11 A-B,older
c85b B,c85b A2,older
c62 B,c85b A2,older
c85b A2,c49 C,older
c49 C,c49b C,older
c54b E-F,c54b C,older
c54b E-F,c54b D,older
c49b C,c54b C,older
c49b C,c54b D,older
c54b C,c59b,older
c54b D,c59b,older
c85b A2,c59b,older
Argile rouge (3),c30 F,older
c31 Inf,c30 F,older
c91,c31 Inf,older
c31b E,c31 Inf,older
c31 Inf,c86 D,older
c32 B,c86 A,older
Argile rouge (3),c86 D,older
c86 D,c89 Inf,older
Substrat,c89 Inf,older
c31 Inf,c31b A2-D,older
c31b A2-D,c47 C,older
c31b A2-D,c47 D,older
c47 C,c31 C,older
c47 C,c31 D,older
c47 D,c31 C,older
c47 D,c31 D,older
c31 D,c86 C,older
c31 D,c31 C,older
c31 D,c86 C,older
c86 D,c86 C,older
c89 Inf,c86 C,older
c86 C,c47b D,older
T11 A-B,Cloison NS bois,older
Cloison NS bois,c66 B,older
Substrat,c66 B,older
Substrat,c42 B2,older
c68b (1),c42 B2,older
c68b (2),c42 B2,older
Substrat,c67b B2,older
c42 B2,c67b B2,older
c66 B,c67b B2,older
c54b D,c54b C,older
c43 D,c43 C,older
c68b (1),c68b (2),older
c30c D,c30c C,older
T11b E,T11b D1,older
c36bis E1a,c36bis D,older
c36bis D,c36bis C,older
c36bis C,c36 C,older
c36bis D,c36 D,older
c36 E1,c36 D,older
c36 D,c36 C,older
c36 D,c38 D1,older
c38 D2,c38 D1,older
c36 C,c35 C,older
c35 C,c37 C,older
c37 C,c38 C,older
c38 C,c38bis C,older
Substrat,c38c D,older
Substrat,c38b D,older
Substrat,c38bis D,older
c38c D,c38bis C,older
c38b D,c38c D,older
c38b D,c38 C,older
c38bis D,c38b D,older
c38bis E1,c38bis D,older
c38 D1,c38bis D,older
c38 D1,c29 D1-C,older
c30b D,c29 D1-C,older
c24 C,c29 D1-C,older
c29 D1-C,c24 B6,older
c24 C,c24 B6,older
c24 B6,c23 B-D,older
c23 B-D,c22c Inf,older
Substrat,c22c Inf,older
c22c Inf,c22 Inf,older
Substrat,c22 Inf,older
c22 Inf,c13 Inf,older
Substrat,c13 Inf,older
c24 B6,c30c B,older
c30c C,c30c B,older
c30c B,c30 C,older
c30 C,c26 C,older
c24 B6,c15 D,older
Substrat,c15 D,older
Substrat,c15c D,older
c15 D,c15c D,older
Substrat,c14 E,older
c15 D,c14 E,older
c13 Inf,c14 E,older
c13 Inf,c8 B,older
c14 E,c8 B,older
c15c D,c8 B,older
c8 B,c8a B,older
c30c B,c15 C2,older
c15 D,c15 C2,older
c15 C2,c15b D-C,older
c15c D,c15b D-C,older
Substrat,b20 B,older
c15b D-C,b20 B,older
Substrat,c17 E,older
c15c D,c17 E,older
c17 E,c17 D2,older
c15b D-C,c17 D2,older
c17 D2,b20 B,older
c17 D2,c27 A1,older
c26 C,c27 A1,older
c30 E,c26 D C2,older
Substrat,c27 A2,older
c26 D C2,c27 A2,older
c27 A2,c17 E,older
c27 A2,c15c D,older
c26 D C2,c32 D,older
Substrat,c32 D,older
c89 Sup,c32 D,older
c31 C,c32 D,older
Substrat,c33 C,older
c32 D,c33 C,older
c86 C,c89 Sup,older
c89 Sup,c33 C,older
c27 A2,c33 C,older
Substrat,c51 D1,older
c33 C,c51 D1,older
Substrat,c52 D1,older
c51 D1,c52 D1,older
T10,c52 D1,older
Substrat,T10,older
c59b,T10,older
c59b,c64 B,older
Substrat,c64 B,older
Substrat,c59c,older
c64 B,c59c,older
T10,c59c,older
c85b A2,c81 a-b / c85 sup / c66 B2,older
c81 a-b / c85 sup / c66 B2,c49 B,older
c49 C,c49 B,older
c49 B,c54b B,older
c54b C,c54b B,older
c82,c82 B-A2,older
c82 B-A2,c83 B-A2,older
c82 B-A2,c81 a-b / c85 sup / c66 B2,older
c83 B-A2,c44 C2,older
c68b A-B,c44 C2,older
c68b (2),c44 C2,older
c44 D,c44 C2,older
c81 a-b / c85 sup / c66 B2,c67 E-D,older
c44 C2,c43 Cx,older
c68b (1),c68b A-B,older
c68b (2),c68b A-B,older
c82 B-A2,c68b A-B,older
c68b A-B,c43 Cx,older
c46 D,c43 Cx,older
c43 C,c43 Cx,older
c46 D,c83 B-A2,older
c37 C,c46 D,older
c38 C,c29b B2,older
c29 D1-C,c29b B2,older
c29b B2,c24 B3,older
c30c B,c24 B3,older
c15 C2,c15 C1,older
c15 C1,c11 C,older
c17 D2,c11 C,older
c11 C,c16 C1,older
c26 C,c16 C1,older
c11 C,c17 D1,older
c17 D2,c17 D1,older
c16 C1,c18 D,older
c17 D1,c18 D,older
c27 A1,c18 D,older
c16 C1,c26 B (1),older
c30 C,c26 B (1),older
c15 C1,c14 C,older
c24 B3,c14 C,older
c14 C,c13 C,older
c13 C,c22 Sup,older
c22 Inf,c22 Sup,older
c22 Sup,c22c Sup,older
c13 C,c8b,older
c8b,c7 B1-C,older
Substrat,c7 B1-C,older
Substrat,c39b,older
c38bis C,c39b,older
c38bis C,c43 Cx,older
Substrat,c22b B-F,older
c39b,c22b B-F,older
c7 B1-C,c22b B-F,older
c22c Sup,c22b B-F,older
Substrat,c2 E2,older
c7 B1-C,c2 E2,older
c15b D-C,c2 E2,older
Substrat,c6 B2,older
c2 E2,c6 B2,older
c6 B2,c10 B2b,older
b20 B,c10 B2b,older
c17 D1,c10 B2b,older
Substrat,T1 D,older
c10 B2b,T1 D,older
c42 B2,c42 B / c67b B1,older
c67b B2,c42 B / c67b B1,older
c42 B / c67b B1,c66 B1 / c68 D / c81 a2 / c62b,older
c61 Inf,c61,older
c66 B1 / c68 D / c81 a2 / c62b,c61,older
c66 B1 / c68 D / c81 a2 / c62b,c69 base,older
Substrat,c69 base,older
c69 base,c69,older
c81 a-b / c85 sup / c66 B2,c66 B1 / c68 D / c81 a2 / c62b,older
c82 B-A2,c82 A2,older
c82 A2,c66 B1 / c68 D / c81 a2 / c62b,older
c67 E-D,c66 B1 / c68 D / c81 a2 / c62b,older
c46 D,c46 BC,older
c46 BC,c83 A2,older
c82 A2,c83 A2,older
c83 A2,c45,older
c43 Cx,c45,older
c45,c43 Cx3,older
c43 Cx,c43 Cx3,older
c42 B / c67b B1,c43 Cx3,older
c43 Cx3,c41 B2,older
c36bis C,c36bis B,older
c36bis B,c45,older
c36bis B,c46 BC,older
c37 A2b,c46 BC,older
c36bis B,c36 B,older
c36 C,c36 B,older
c35 C,c35 A2b,older
c35 A2b,c37 A2b,older
c37 C,c37 A2b,older
c36bis C,c37 A2b,older
c37 A2b,c45,older
c35 A2b,c29b B1,older
c29b B2,c29b B1,older
c29b B1,c29 B2,older
c22 Sup,c29 B2,older
c30c B,c24 B2 / c15 B,older
c24 B3,c24 B2 / c15 B,older
c29b B1,c24 B2 / c15 B,older
c24 B2 / c15 B,c30 B,older
c31 B,c30 B,older
c30 C,c30 B,older
c31 C,c31 B,older
c31 D,c31 B,older
c31b A1,c31 B,older
c31b A2-D,c31b A1,older
c31b A1,c47 Ax,older
c47 C,c47 Ax,older
c47 C,c47 Ax,older
c47 D,c47 C,older
c47 Ax,c47b C,older
c47b D,c47b C,older
c46 BC,c47b C,older
c47b C,c86 B,older
c86 C,c86 B,older
c86 B,c31 B,older
c31 B,c32 C,older
c32 D,c32 C,older
c32 C,c33 B,older
c33 C,c33 B,older
c27 A1,c33 B,older
c24 B2 / c15 B,c15c,older
c15 C1,c15c,older
c15c,c11 B,older
c11 C,c11 B,older
c29b B1,c11 B,older
c29b B2,c11 B,older
c15c,c25b B,older
c11 B,c25b B,older
c30 B,c25b B,older
c25b B,c26 B (1),older
c32 C,c26 B (1),older
c11 B,c17 B-C,older
c17 D1,c17 B-C,older
c17 B-C,c16 C2,older
c16 C1,c16 C2,older
c26 B (1),c16 C2,older
c26 B (2),c26 B (1),older
c16 C1,c26 B (2),older
c18 D,c18 C,older
c16 C2,c18 C,older
c15c,c12 B,older
c15b B,c12 B,older
c15b D-C,c15b B,older
c15c,c15b B,older
c12 B,c8 B1,older
c8a B,c8 B1,older
c8 B1,c8a' A,older
c8a' A,c8a A,older
c8b,c8a A,older
c2 E2,c2 E1-C,older
c15b B,c2 E1-C,older
c2 E1-C,c6 B1,older
c6 B2,c6 B1,older
c2 E1-C,c10 B2a,older
c17 B-C,c10 B2a,older
c10 B2b,c10 B2a,older
c6 B1,c10 B2a,older
T1 D,T1 B-C,older
c6 B2,T1 B-C,older
c17 E,T1 B-C,older
c6 B1,T1 B-C,older
c2 E1-C,Terre rouge,older
Terre rouge,b11 C,older
b11 C,T2 D,older
T1 B-C,T2 D,older
Substrat,T3 B,older
T2 D,T3 B,older
T1 B-C,T3 B,older
Substrat,T4,older
T3 B,T4,older
T2 D,b11 B,older
c1 B,b11 B,older
c6 B1,b11 B,older
Substrat,c1 B,older
c7 B1-C,c1 B,older
c1d A-C,c1 B,older
c2 E2,c1 B,older
Substrat,c1d A-C,older
c22b B-F,c1d A-C,older
c39 B,c1d A-C,older
Substrat,c39 B,older
c39b,c39 B,older
c49 B,c65,older
c68b,c68b Z1,older
c65,c49 A,older
c49 A,c48 B,older
c48 B,c82 A sup,older
